frame,timestamp_s,conf,det_px_x,det_px_y,det_w,det_h,center_dist,drone_lat,drone_lon,drone_alt_m,drone_yaw,target_lat,target_lon
2755,91.83,0.674,1269,561,91,95,0.744,51.4234140,-2.6714320,21.0,153.0,51.4233833,-2.6715366
2761,92.03,0.709,1330,561,93,97,0.828,51.4234180,-2.6714210,21.0,153.0,51.4233836,-2.6715373
2767,92.23,0.652,1396,557,93,93,0.918,51.4234210,-2.6714110,21.0,153.0,51.4233821,-2.6715395
3094,103.13,0.635,1344,561,68,70,0.847,51.4234290,-2.6713840,30.0,153.0,51.4233787,-2.6715536
3249,108.30,0.633,1324,552,63,63,0.819,51.4234300,-2.6713870,30.8,153.0,51.4233785,-2.6715546
3255,108.50,0.631,1324,552,61,61,0.819,51.4234300,-2.6713870,30.8,153.0,51.4233785,-2.6715545
3261,108.70,0.660,1324,552,61,61,0.819,51.4234300,-2.6713870,30.8,153.0,51.4233785,-2.6715545
3267,108.90,0.680,1321,550,61,63,0.815,51.4234290,-2.6713870,30.8,153.0,51.4233775,-2.6715532
3273,109.10,0.670,1317,552,63,61,0.809,51.4234290,-2.6713880,30.8,153.0,51.4233782,-2.6715533
3279,109.30,0.609,1312,552,61,63,0.802,51.4234290,-2.6713900,30.7,153.0,51.4233787,-2.6715537
3285,109.50,0.689,1303,550,61,61,0.790,51.4234280,-2.6713920,30.7,153.0,51.4233782,-2.6715528
3291,109.70,0.618,1289,552,63,68,0.771,51.4234270,-2.6713950,30.7,153.0,51.4233788,-2.6715522
3297,109.90,0.625,1274,552,61,61,0.750,51.4234260,-2.6713980,30.7,153.0,51.4233792,-2.6715509
3303,110.10,0.608,1255,550,61,63,0.724,51.4234250,-2.6714030,30.6,153.0,51.4233795,-2.6715502
3309,110.30,0.617,1233,552,59,59,0.694,51.4234230,-2.6714080,30.6,153.0,51.4233799,-2.6715493
3315,110.50,0.581,1203,552,61,63,0.653,51.4234210,-2.6714150,30.6,153.0,51.4233805,-2.6715480
3321,110.70,0.639,1171,550,63,63,0.609,51.4234180,-2.6714230,30.7,152.9,51.4233798,-2.6715469
3327,110.90,0.605,1137,550,61,61,0.562,51.4234150,-2.6714310,30.7,153.0,51.4233799,-2.6715456
3333,111.10,0.608,1101,552,61,61,0.513,51.4234120,-2.6714400,30.8,152.9,51.4233802,-2.6715451
3339,111.30,0.621,1066,548,61,61,0.464,51.4234090,-2.6714500,30.8,153.0,51.4233797,-2.6715449
3345,111.50,0.626,1028,548,61,63,0.412,51.4234060,-2.6714590,30.8,153.0,51.4233801,-2.6715433
3351,111.70,0.630,989,548,61,61,0.359,51.4234030,-2.6714690,30.8,153.0,51.4233806,-2.6715424
3357,111.90,0.597,953,550,63,63,0.309,51.4234000,-2.6714790,30.8,153.0,51.4233811,-2.6715427
